CMOS Winnowing Report
Submissions analyzed: 54
k-mer length: 12 digits
window size: 5 hashes

86. bills_06.c vs bills_32.c | similarity=0.7544 | shared=86 | total=114
87. bills_25.c vs bills_29.c | similarity=0.7542 | shared=89 | total=118
88. bills_22.c vs bills_43.c | similarity=0.7523 | shared=82 | total=109
89. bills_36.c vs bills_49.c | similarity=0.7523 | shared=82 | total=109
90. bills_15.c vs bills_23.c | similarity=0.7521 | shared=88 | total=117
91. bills_03.c vs bills_46.c | similarity=0.7500 | shared=87 | total=116
92. bills_09.c vs bills_46.c | similarity=0.7500 | shared=87 | total=116
93. bills_46.c vs bills_53.c | similarity=0.7500 | shared=87 | total=116
94. bills_46.c vs bills_54.c | similarity=0.7500 | shared=87 | total=116
95. bills_29.c vs bills_49.c | similarity=0.7500 | shared=84 | total=112
96. bills_06.c vs bills_45.c | similarity=0.7479 | shared=89 | total=119
97. bills_29.c vs bills_32.c | similarity=0.7477 | shared=83 | total=111
98. bills_08.c vs bills_48.c | similarity=0.7477 | shared=80 | total=107
99. bills_15.c vs bills_32.c | similarity=0.7477 | shared=80 | total=107
100. bills_22.c vs bills_48.c | similarity=0.7477 | shared=80 | total=107
101. bills_31.c vs bills_33.c | similarity=0.7458 | shared=88 | total=118
102. bills_07.c vs bills_16.c | similarity=0.7434 | shared=84 | total=113
103. bills_31.c vs bills_36.c | similarity=0.7431 | shared=81 | total=109
104. bills_29.c vs bills_45.c | similarity=0.7414 | shared=86 | total=116
105. bills_03.c vs bills_10.c | similarity=0.7377 | shared=90 | total=122
106. bills_09.c vs bills_10.c | similarity=0.7377 | shared=90 | total=122
107. bills_10.c vs bills_53.c | similarity=0.7377 | shared=90 | total=122
108. bills_10.c vs bills_54.c | similarity=0.7377 | shared=90 | total=122
109. bills_05.c vs bills_10.c | similarity=0.7364 | shared=95 | total=129
110. bills_36.c vs bills_47.c | similarity=0.7364 | shared=81 | total=110
111. bills_15.c vs bills_36.c | similarity=0.7358 | shared=78 | total=106
112. bills_30.c vs bills_31.c | similarity=0.7355 | shared=89 | total=121
113. bills_25.c vs bills_30.c | similarity=0.7344 | shared=94 | total=128
114. bills_06.c vs bills_07.c | similarity=0.7328 | shared=85 | total=116
115. bills_02.c vs bills_32.c | similarity=0.7315 | shared=79 | total=108
116. bills_05.c vs bills_32.c | similarity=0.7311 | shared=87 | total=119
117. bills_07.c vs bills_33.c | similarity=0.7311 | shared=87 | total=119
118. bills_03.c vs bills_28.c | similarity=0.7288 | shared=86 | total=118
119. bills_09.c vs bills_28.c | similarity=0.7288 | shared=86 | total=118
120. bills_28.c vs bills_53.c | similarity=0.7288 | shared=86 | total=118
121. bills_28.c vs bills_54.c | similarity=0.7288 | shared=86 | total=118
122. bills_06.c vs bills_46.c | similarity=0.7273 | shared=88 | total=121
123. bills_30.c vs bills_32.c | similarity=0.7273 | shared=88 | total=121
124. bills_28.c vs bills_32.c | similarity=0.7265 | shared=85 | total=117
125. bills_03.c vs bills_07.c | similarity=0.7257 | shared=82 | total=113
126. bills_07.c vs bills_09.c | similarity=0.7257 | shared=82 | total=113
127. bills_07.c vs bills_53.c | similarity=0.7257 | shared=82 | total=113
128. bills_07.c vs bills_54.c | similarity=0.7257 | shared=82 | total=113
129. bills_03.c vs bills_25.c | similarity=0.7250 | shared=87 | total=120
130. bills_05.c vs bills_31.c | similarity=0.7250 | shared=87 | total=120
131. bills_09.c vs bills_25.c | similarity=0.7250 | shared=87 | total=120
132. bills_25.c vs bills_53.c | similarity=0.7250 | shared=87 | total=120
133. bills_25.c vs bills_54.c | similarity=0.7250 | shared=87 | total=120
134. bills_31.c vs bills_32.c | similarity=0.7232 | shared=81 | total=112
135. bills_25.c vs bills_32.c | similarity=0.7227 | shared=86 | total=119
136. bills_10.c vs bills_38.c | similarity=0.7222 | shared=91 | total=126
137. bills_16.c vs bills_29.c | similarity=0.7217 | shared=83 | total=115
138. bills_22.c vs bills_46.c | similarity=0.7217 | shared=83 | total=115
139. bills_03.c vs bills_08.c | similarity=0.7207 | shared=80 | total=111
140. bills_03.c vs bills_36.c | similarity=0.7207 | shared=80 | total=111
141. bills_07.c vs bills_48.c | similarity=0.7207 | shared=80 | total=111
142. bills_08.c vs bills_09.c | similarity=0.7207 | shared=80 | total=111
143. bills_08.c vs bills_53.c | similarity=0.7207 | shared=80 | total=111
144. bills_08.c vs bills_54.c | similarity=0.7207 | shared=80 | total=111
145. bills_09.c vs bills_36.c | similarity=0.7207 | shared=80 | total=111
146. bills_36.c vs bills_53.c | similarity=0.7207 | shared=80 | total=111
147. bills_36.c vs bills_54.c | similarity=0.7207 | shared=80 | total=111
148. bills_03.c vs bills_05.c | similarity=0.7190 | shared=87 | total=121
149. bills_05.c vs bills_09.c | similarity=0.7190 | shared=87 | total=121
150. bills_05.c vs bills_53.c | similarity=0.7190 | shared=87 | total=121
151. bills_05.c vs bills_54.c | similarity=0.7190 | shared=87 | total=121
152. bills_02.c vs bills_03.c | similarity=0.7182 | shared=79 | total=110
153. bills_02.c vs bills_09.c | similarity=0.7182 | shared=79 | total=110
154. bills_02.c vs bills_53.c | similarity=0.7182 | shared=79 | total=110
155. bills_02.c vs bills_54.c | similarity=0.7182 | shared=79 | total=110
156. bills_03.c vs bills_15.c | similarity=0.7182 | shared=79 | total=110
157. bills_09.c vs bills_15.c | similarity=0.7182 | shared=79 | total=110
158. bills_15.c vs bills_29.c | similarity=0.7182 | shared=79 | total=110
159. bills_15.c vs bills_53.c | similarity=0.7182 | shared=79 | total=110
160. bills_15.c vs bills_54.c | similarity=0.7182 | shared=79 | total=110
161. bills_32.c vs bills_46.c | similarity=0.7179 | shared=84 | total=117
162. bills_06.c vs bills_25.c | similarity=0.7177 | shared=89 | total=124
163. bills_25.c vs bills_45.c | similarity=0.7177 | shared=89 | total=124
164. bills_16.c vs bills_17.c | similarity=0.7176 | shared=94 | total=131
165. bills_32.c vs bills_43.c | similarity=0.7168 | shared=81 | total=113
166. bills_08.c vs bills_28.c | similarity=0.7155 | shared=83 | total=116
167. bills_07.c vs bills_23.c | similarity=0.7154 | shared=88 | total=123
168. bills_28.c vs bills_46.c | similarity=0.7154 | shared=88 | total=123
169. bills_17.c vs bills_47.c | similarity=0.7154 | shared=93 | total=130
170. bills_18.c vs bills_30.c | similarity=0.7143 | shared=95 | total=133
171. bills_37.c vs bills_46.c | similarity=0.7143 | shared=85 | total=119
172. bills_03.c vs bills_48.c | similarity=0.7143 | shared=80 | total=112
173. bills_09.c vs bills_48.c | similarity=0.7143 | shared=80 | total=112
174. bills_48.c vs bills_53.c | similarity=0.7143 | shared=80 | total=112
175. bills_48.c vs bills_54.c | similarity=0.7143 | shared=80 | total=112
176. bills_06.c vs bills_08.c | similarity=0.7130 | shared=82 | total=115
177. bills_25.c vs bills_46.c | similarity=0.7120 | shared=89 | total=125
178. bills_05.c vs bills_25.c | similarity=0.7109 | shared=91 | total=128
